household_type,income_group,year,market_income,social_insurance_benefits,inc_before_transfers_taxes,means_tested_transfers,federal_taxes,inc_after_transfers_taxes
all_households,all_quintiles,1979,64800.0,4900.0,69700.0,1500.0,15600.0,55600.0
all_households,all_quintiles,1980,62500.0,5200.0,67700.0,1600.0,15200.0,54100.0
all_households,all_quintiles,1981,62500.0,5400.0,67900.0,1600.0,15400.0,54200.0
all_households,all_quintiles,1982,62100.0,6000.0,68000.0,1600.0,14200.0,55400.0
all_households,all_quintiles,1983,62600.0,6000.0,68700.0,1600.0,14100.0,56200.0
all_households,all_quintiles,1984,66700.0,5900.0,72600.0,1600.0,15100.0,59100.0
all_households,all_quintiles,1985,67700.0,6000.0,73700.0,1600.0,15500.0,59900.0
all_households,all_quintiles,1986,72500.0,6200.0,78700.0,1700.0,16500.0,63900.0
all_households,all_quintiles,1987,70100.0,6000.0,76200.0,1700.0,16600.0,61300.0
all_households,all_quintiles,1988,73300.0,6100.0,79400.0,1700.0,17400.0,63700.0
all_households,all_quintiles,1989,73700.0,6200.0,79900.0,1800.0,17300.0,64400.0
all_households,all_quintiles,1990,73100.0,6500.0,79500.0,2000.0,17200.0,64300.0
all_households,all_quintiles,1991,70900.0,6800.0,77700.0,2200.0,16800.0,63100.0
all_households,all_quintiles,1992,72600.0,7200.0,79800.0,2500.0,17200.0,65000.0
all_households,all_quintiles,1993,72700.0,7400.0,80000.0,2600.0,17700.0,65000.0
all_households,all_quintiles,1994,73600.0,7300.0,80900.0,2700.0,18200.0,65500.0
all_households,all_quintiles,1995,76900.0,7500.0,84400.0,2800.0,19100.0,68000.0
all_households,all_quintiles,1996,80000.0,7600.0,87600.0,2700.0,20000.0,70300.0
all_households,all_quintiles,1997,84000.0,7700.0,91700.0,2600.0,21100.0,73100.0
all_households,all_quintiles,1998,88900.0,7700.0,96600.0,2700.0,21900.0,77400.0
all_households,all_quintiles,1999,93900.0,7600.0,101500.0,2700.0,23400.0,80800.0
all_households,all_quintiles,2000,96000.0,7600.0,103700.0,2800.0,24000.0,82500.0
all_households,all_quintiles,2001,90300.0,8000.0,98300.0,3000.0,21200.0,80100.0
all_households,all_quintiles,2002,86000.0,8400.0,94400.0,3300.0,19600.0,78100.0
all_households,all_quintiles,2003,87400.0,8600.0,95900.0,3500.0,19100.0,80300.0
all_households,all_quintiles,2004,92800.0,8500.0,101200.0,3700.0,20600.0,84400.0
all_households,all_quintiles,2005,98000.0,8700.0,106700.0,3700.0,22200.0,88200.0
all_households,all_quintiles,2006,101700.0,9100.0,110800.0,3700.0,23200.0,91300.0
all_households,all_quintiles,2007,104900.0,9200.0,114100.0,3700.0,23400.0,94500.0
all_households,all_quintiles,2008,96400.0,9700.0,106100.0,3900.0,19700.0,90300.0
all_households,all_quintiles,2009,88800.0,11200.0,100000.0,4400.0,17900.0,86600.0
all_households,all_quintiles,2010,90400.0,11200.0,101600.0,4600.0,18900.0,87400.0
all_households,all_quintiles,2011,90700.0,10900.0,101600.0,4500.0,18600.0,87500.0
all_households,all_quintiles,2012,95400.0,11100.0,106500.0,4600.0,20100.0,90900.0
all_households,all_quintiles,2013,94000.0,11100.0,105100.0,4600.0,21700.0,88000.0
all_households,all_quintiles,2014,97800.0,10900.0,108700.0,5400.0,23000.0,91100.0
all_households,all_quintiles,2015,100800.0,11300.0,112100.0,5800.0,23700.0,94300.0
all_households,all_quintiles,2016,99700.0,11500.0,111300.0,6000.0,23200.0,94100.0
all_households,all_quintiles,2017,103300.0,11600.0,114900.0,5900.0,23800.0,97000.0
all_households,all_quintiles,2018,105300.0,11700.0,117000.0,5800.0,22600.0,100200.0
all_households,all_quintiles,2019,107400.0,12200.0,119600.0,5900.0,23200.0,102400.0
all_households,lowest_quintile,1979,8100.0,10300.0,18400.0,4700.0,1100.0,21900.0
all_households,lowest_quintile,1980,7300.0,10500.0,17800.0,4900.0,1000.0,21700.0
all_households,lowest_quintile,1981,7100.0,10800.0,17900.0,5100.0,1000.0,22000.0
all_households,lowest_quintile,1982,6600.0,11100.0,17700.0,5200.0,900.0,22000.0
all_households,lowest_quintile,1983,6300.0,11000.0,17300.0,5600.0,1000.0,21900.0
all_households,lowest_quintile,1984,7600.0,10600.0,18100.0,5300.0,1200.0,22200.0
all_households,lowest_quintile,1985,7300.0,10900.0,18200.0,5600.0,1200.0,22600.0
all_households,lowest_quintile,1986,7200.0,10900.0,18100.0,5700.0,1100.0,22700.0
all_households,lowest_quintile,1987,6400.0,11100.0,17500.0,6000.0,1000.0,22500.0
all_households,lowest_quintile,1988,6700.0,11400.0,18100.0,6100.0,1000.0,23200.0
all_households,lowest_quintile,1989,7400.0,11400.0,18800.0,6300.0,1000.0,24100.0
all_households,lowest_quintile,1990,7700.0,11800.0,19500.0,6800.0,1100.0,25200.0
all_households,lowest_quintile,1991,7600.0,12300.0,19800.0,7300.0,1100.0,26100.0
all_households,lowest_quintile,1992,7300.0,13000.0,20300.0,7900.0,1100.0,27100.0
all_households,lowest_quintile,1993,7100.0,13500.0,20600.0,8300.0,1000.0,27900.0
all_households,lowest_quintile,1994,6900.0,13900.0,20800.0,8500.0,900.0,28400.0
all_households,lowest_quintile,1995,7900.0,14000.0,21900.0,8400.0,800.0,29500.0
all_households,lowest_quintile,1996,8100.0,13700.0,21800.0,8300.0,800.0,29400.0
all_households,lowest_quintile,1997,8800.0,14200.0,23000.0,7900.0,800.0,30100.0
all_households,lowest_quintile,1998,10100.0,14200.0,24200.0,8100.0,900.0,31400.0
all_households,lowest_quintile,1999,10900.0,14100.0,25000.0,8000.0,1000.0,31900.0
all_households,lowest_quintile,2000,10200.0,13700.0,23900.0,8200.0,1000.0,31000.0
all_households,lowest_quintile,2001,9900.0,13500.0,23400.0,8700.0,800.0,31200.0
all_households,lowest_quintile,2002,9300.0,14300.0,23600.0,9000.0,700.0,31800.0
all_households,lowest_quintile,2003,8800.0,14600.0,23400.0,9400.0,800.0,32100.0
all_households,lowest_quintile,2004,9100.0,14400.0,23500.0,9600.0,700.0,32500.0
all_households,lowest_quintile,2005,9600.0,14500.0,24100.0,9700.0,700.0,33100.0
all_households,lowest_quintile,2006,10300.0,15300.0,25600.0,9700.0,800.0,34500.0
all_households,lowest_quintile,2007,11800.0,14600.0,26400.0,9600.0,700.0,35300.0
all_households,lowest_quintile,2008,10700.0,16000.0,26700.0,9900.0,-100.0,36700.0
all_households,lowest_quintile,2009,9200.0,18000.0,27200.0,11100.0,-0.0,38300.0
all_households,lowest_quintile,2010,9000.0,17400.0,26400.0,11400.0,-0.0,37800.0
all_households,lowest_quintile,2011,9100.0,17300.0,26400.0,10900.0,100.0,37300.0
all_households,lowest_quintile,2012,8500.0,17400.0,26000.0,11100.0,100.0,36900.0
all_households,lowest_quintile,2013,9400.0,17000.0,26400.0,11300.0,300.0,37300.0
all_households,lowest_quintile,2014,9000.0,16600.0,25600.0,12600.0,200.0,37900.0
all_households,lowest_quintile,2015,9500.0,17600.0,27100.0,12900.0,100.0,39800.0
